Week,ngành h?c (Vietnam)
1/3/2021,18
1/10/2021,16
1/17/2021,19
1/24/2021,15
1/31/2021,10
2/7/2021,13
2/14/2021,23
2/21/2021,26
2/28/2021,38
3/7/2021,34
3/14/2021,37
3/21/2021,32
3/28/2021,27
4/4/2021,33
4/11/2021,32
4/18/2021,41
4/25/2021,73
5/2/2021,77
5/9/2021,36
5/16/2021,28
5/23/2021,28
5/30/2021,26
6/6/2021,25
6/13/2021,24
6/20/2021,23
6/27/2021,26
7/4/2021,42
7/11/2021,41
7/18/2021,31
7/25/2021,100
8/1/2021,45
8/8/2021,35
8/15/2021,29
8/22/2021,41
8/29/2021,55
9/5/2021,27
9/12/2021,56
9/19/2021,35
